"","STOPPED","IDENTIFIED","ILLEGAL","ILL_EXP_INSP","ILL_EXP_RETURN","MIXE","NEWS","GLAS","STCN","ALCN","PLBT","HOUSE","RECY","DRY","DISP","LA_W","CPI","RPI","GDP_MARKET","POP","DWEL","CTDR","WATE","WATP","Tax","Fee_Land","Incin","EA_Tot_Enforc","EA_Illegal","EA_Illegal_exp","EA_Tot_Enforc_1Q","EA_Illegal_1Q","EA_Illegal_exp_1Q","EA_Tot_2Q"
"PLBT",-0.430635608009036,0.147348386430315,-0.473757860859016,0.798557127668613,-0.0444515572626775,0.78911306538059,0.732480497693585,-0.479209974863723,0.330733943373195,0.584803268575165,1,0.0876792998214325,-0.152747047289613,-0.606031996611911,0.550653574745199,0.119622258295731,-0.335774484078163,-0.326459805280924,-0.367605622222772,-0.520012132795719,-0.536857080651708,1,-0.285144008321534,0.201883729982626,-0.413486620761393,0.29055777405322,-0.00886714673327758,-0.452419120392354,-0.461800398894763,-0.659597968897124,-0.617603646282857,-0.630710266555622,-0.59951680622752,-0.542365947980434
"HOUSE",-0.173426148096684,0.128954843090017,0.160012320251907,0.314442617194392,0.396553352803876,0.0243806257544323,0.155088043717878,-0.0549899459802483,-0.152788573793887,0.00392081437496147,0.0876792998214325,1,0.869318661431546,-0.170105172491626,-0.477686650920638,0.996426352471035,-0.0208217434650853,-0.00298178003438883,0.0122014926008731,0.159127689171054,0.156854835957599,0,-0.0573889990425111,-0.0278379483690076,-0.049534869190608,-0.0638102738310207,0.0953386862795851,-0.279899444566907,-0.390472799505965,-0.39619670069842,0.022696074665754,-0.0780551207715276,0.0727806263665958,-0.268163235781129
"RECY",-0.0451595791652286,0.142102827890838,0.353259352185453,0.438815834446948,0.395542544998646,-0.116224606552847,-0.0107606186847814,-0.102628483124782,-0.0721683736624414,-0.0375391390665485,-0.152747047289613,0.869318661431546,1,0.129890618140436,-0.808271395381527,0.834062684308725,0.397914181099275,0.405332478791051,0.361955585361648,0.981249977806592,0.975351199493853,0,0.326468751313106,-0.0171652883827789,0.318729507252859,0.0730259701098601,0.246934563280721,-0.0577949394302277,-0.137498473697558,-0.171852632669986,0.190612748512706,0.0809490116148426,0.165200692504602,0.0470957522592656
"DRY",0.362717612823923,-0.112661142331942,0.456501568363358,-0.962748118851893,-0.678721289284597,-0.391545646801546,-0.499918320071399,0.120488193558018,0.164376500108481,-0.316495312866389,-0.606031996611911,-0.170105172491626,0.129890618140436,1,-0.571023417867845,-0.213199169784957,0.821098102952778,0.809265448969439,0.767674432726282,0.91415489003403,0.916103573632012,0,0.747453973907383,-0.135332431780728,0.882930330538262,0.129389108931834,0.473311033885856,0.54540192579014,0.534207621171105,0.587340374412335,0.608231075077678,0.672366686162898,0.604128627989065,0.726150156789817
"DISP",-0.130326904027531,0.0256241714252805,-0.674275855250472,-0.457973437305296,-0.356555413864026,0.449625497852781,0.432728383270176,-0.0538196806726827,0.132329397629187,0.334569860018297,0.550653574745199,-0.477686650920638,-0.808271395381527,-0.571023417867845,1,-0.424909357747058,-0.854922169801809,-0.859929995589423,-0.819225111544127,-0.998885030048859,-0.998672076445163,0,-0.748758038357298,0.0946090166812656,-0.782966532569686,0.0063500038384216,-0.534241934553051,-0.241473356888054,-0.206569019788979,-0.314346632708058,-0.477536793158095,-0.399629971914505,-0.463639505738254,-0.441169355930534
"LA_W",-0.185301728050642,0.112041045507194,0.141349400015013,0.311882940037849,0.397719234561262,0.0474969910869534,0.176251317775537,-0.0244947918436075,-0.167636869413994,0.016051982625839,0.119622258295731,0.996426352471035,0.834062684308725,-0.213199169784957,-0.424909357747058,1,-0.0735245696578256,-0.0542790292044163,-0.0299164924833191,-0.115154625168251,-0.116221868797961,0,-0.0933559581703871,0.00275708044712452,-0.0970962704083244,-0.0664113329002939,0.0761781850397467,-0.300985618534065,-0.410984966502562,-0.410678123798978,0.0266799545617794,-0.0749018320385157,0.0704686313821225,-0.2985286063201
"CPI",0.258345671344231,0.571371861756632,0.711090571592553,0.720067965587591,0.313505715114841,0.155776334415547,0.179053000891934,-0.0176197118797546,0.573073013266505,0.426982151389729,-0.335774484078163,-0.0208217434650853,0.397914181099275,0.821098102952778,-0.854922169801809,-0.0735245696578256,1,0.995502101957818,0.966853329449858,0.996290980202915,0.981984145478985,0.50073507986063,0.664725994484779,0.0631148784583997,0.964966117091861,-0.0589539466535407,0.791331166569312,0.110699663694352,0.280669314323844,0.513020156164704,0.102701948023098,0.195314407880684,0.589822010708666,0.287664681532684
"RPI",0.173898119592536,0.527398823034912,0.733356801872487,0.317460889702091,-0.514202100324863,0.154870451096214,0.174647570978072,-0.0191112876003632,0.567731183718572,0.424936444613597,-0.326459805280924,-0.00298178003438883,0.405332478791051,0.809265448969439,-0.859929995589423,-0.0542790292044163,0.995502101957818,1,0.983321029439354,0.993819566617827,0.980352904277547,0.914332463761958,0.711266567952478,0.0661635062525354,0.934253991158095,-0.0310623446409095,0.835460029075568,0.0378108198741663,0.249696552469657,0.489746228624469,0.00537308723991724,0.109110384099167,0.577754077345472,0.198169755706183
"GDP_MARKET",0.24044844457879,0.510630453800198,0.801518931429897,0.651476771146607,-0.528692015895377,0.0542081821652678,0.0707164580539009,0.0452938031332363,0.463066333603411,0.330699475369564,-0.367605622222772,0.0122014926008731,0.361955585361648,0.767674432726282,-0.819225111544127,-0.0299164924833191,0.966853329449858,0.983321029439354,1,0.976798198384729,0.968908339827636,0.9940542942811,0.76442478467496,0.0657800474508155,0.870858804248747,-0.166983888121285,0.885011842168638,-0.184073862474821,-0.0690438530860847,0.545705429648205,-0.0730750967849994,0.000875263945605753,0.626141377111534,-2.58257945640691e-05
"POP",0.297276919599598,0.640686697406558,0.735971070019265,0,0,0.143635269004288,0.192085801702822,-0.0324774991425121,0.670174632603117,0.242634222430206,-0.520012132795719,0.159127689171054,0.981249977806592,0.91415489003403,-0.998885030048859,-0.115154625168251,0.996290980202915,0.993819566617827,0.976798198384729,1,0.993223616987125,0.422248134296049,0.49608909735655,-0.497431137591868,0.970913691853999,-0.334601438787842,0.82308432600552,0.558333745440653,0.48011089525243,0.742043781648149,0.439619904122593,0.456969079140585,0.733043074644997,0.794407306894618
